0.9	1
1.8	7.18169
2.7	51.5766
3.6	370.407
4.5	2660.15
5.4	19104.4
6.3	137202
7.2	985339
8.1	7.07639e+06
9	5.08205e+07
9.9	3.64977e+08
10.8	2.62115e+09
11.7	1.88243e+10
12.6	1.3519e+11
13.5	9.70892e+11
14.4	6.97264e+12
15.3	5.00754e+13
16.2	3.59626e+14
17.1	2.58272e+15
18	1.85483e+16
18.9	1.33208e+17
19.8	9.56658e+17
20.7	6.87042e+18
21.6	4.93412e+19
22.5	3.54353e+20
23.4	2.54485e+21
24.3	1.82763e+22
25.2	1.31255e+23
26.1	9.42632e+23
27	6.76969e+24
27.9	4.86178e+25
28.8	3.49158e+26
29.7	2.50754e+27
30.6	1.80084e+28
31.5	1.29331e+29
32.4	9.28812e+29
33.3	6.67043e+30
34.2	4.7905e+31
35.1	3.44039e+32
36	2.47078e+33
36.9	1.77444e+34
37.8	1.27434e+35
38.7	9.15194e+35
39.6	6.57264e+36
40.5	4.72026e+37
41.4	3.38995e+38
42.3	2.43455e+39
43.2	1.74842e+40
44.1	1.25566e+41
45	9.01776e+41
