1	1
2	8.29167
3	68.7517
4	570.066
5	4726.8
6	39193.1
7	324976
8	2.69459e+06
9	2.23426e+07
10	1.85258e+08
11	1.5361e+09
12	1.27368e+10
13	1.05609e+11
14	8.75677e+11
15	7.26082e+12
16	6.02043e+13
17	4.99194e+14
18	4.13915e+15
19	3.43205e+16
20	2.84574e+17
21	2.35959e+18
22	1.95649e+19
23	1.62226e+20
24	1.34512e+21
25	1.11533e+22
26	9.24796e+22
27	7.6681e+23
28	6.35813e+24
29	5.27195e+25
30	4.37133e+26
31	3.62456e+27
32	3.00536e+28
33	2.49195e+29
34	2.06624e+30
35	1.71326e+31
36	1.42058e+32
37	1.17789e+33
38	9.7667e+33
39	8.09822e+34
40	6.71478e+35
41	5.56767e+36
42	4.61653e+37
43	3.82787e+38
44	3.17394e+39
45	2.63173e+40
46	2.18214e+41
47	1.80936e+42
48	1.50026e+43
49	1.24396e+44
50	1.03145e+45
